flight_id,airline_code,flight_number,origin,destination,scheduled_departure,scheduled_arrival,terminal_id,gate,aircraft_type,scheduled_passengers
EE119-2026-06-13-14,EE,EE214,HUB,CCC,2026-06-13T21:00:00,2026-06-13T23:00:00,T3,T3-16,A350,109
BB878-2026-06-13-15,BB,BB645,HUB,GGG,2026-06-13T07:10:00,2026-06-13T09:10:00,T4,T4-03,A350,417
DD993-2026-06-13-16,DD,DD721,HUB,DDD,2026-06-13T22:15:00,2026-06-13T23:15:00,T3,T3-17,A380,182
CC562-2026-06-13-17,CC,CC223,HUB,BBB,2026-06-13T17:40:00,2026-06-13T19:40:00,T4,T4-17,A320,253
AA172-2026-06-13-18,AA,AA824,HUB,FFF,2026-06-13T22:20:00,2026-06-13T23:20:00,T2,T2-01,A350,114
AA785-2026-06-13-19,AA,AA597,HUB,BBB,2026-06-13T15:10:00,2026-06-13T20:10:00,T2,T2-09,A350,372
EE294-2026-06-13-20,EE,EE196,HUB,AAA,2026-06-13T20:20:00,2026-06-13T23:20:00,T4,T4-14,B787,261
DD769-2026-06-13-21,DD,DD761,HUB,AAA,2026-06-13T18:50:00,2026-06-13T19:50:00,T1,T1-22,B787,253
AA559-2026-06-13-22,AA,AA243,HUB,DDD,2026-06-13T12:20:00,2026-06-13T14:20:00,T2,T2-18,B777,316
BB767-2026-06-13-23,BB,BB653,HUB,GGG,2026-06-13T07:50:00,2026-06-13T08:50:00,T1,T1-02,A320,201
BB985-2026-06-13-24,BB,BB510,HUB,AAA,2026-06-13T18:50:00,2026-06-13T20:50:00,T4,T4-07,B787,81
DD813-2026-06-13-25,DD,DD848,HUB,GGG,2026-06-13T13:50:00,2026-06-13T18:50:00,T3,T3-14,B787,159
BB853-2026-06-13-26,BB,BB655,HUB,AAA,2026-06-13T14:20:00,2026-06-13T20:20:00,T1,T1-19,B777,109
AA182-2026-06-13-27,AA,AA971,HUB,BBB,2026-06-13T20:15:00,2026-06-13T21:15:00,T1,T1-17,A380,114
BB708-2026-06-13-28,BB,BB140,HUB,EEE,2026-06-13T17:10:00,2026-06-13T18:10:00,T2,T2-19,B787,416
EE785-2026-06-13-29,EE,EE833,HUB,CCC,2026-06-13T21:40:00,2026-06-13T23:40:00,T3,T3-07,B777,282
BB174-2026-06-13-30,BB,BB109,HUB,DDD,2026-06-13T14:50:00,2026-06-13T19:50:00,T3,T3-25,A380,131
AA457-2026-06-13-31,AA,AA170,HUB,BBB,2026-06-13T22:20:00,2026-06-13T23:20:00,T3,T3-05,B777,160
DD936-2026-06-13-32,DD,DD667,HUB,CCC,2026-06-13T22:30:00,2026-06-13T23:30:00,T1,T1-22,A320,148
CC388-2026-06-13-33,CC,CC719,HUB,BBB,2026-06-13T08:10:00,2026-06-13T14:10:00,T2,T2-09,B777,184
CC194-2026-06-13-34,CC,CC749,HUB,DDD,2026-06-13T21:50:00,2026-06-13T23:50:00,T3,T3-02,A320,81
CC552-2026-06-13-35,CC,CC664,HUB,FFF,2026-06-13T09:30:00,2026-06-13T13:30:00,T2,T2-24,A380,84
AA696-2026-06-13-36,AA,AA665,HUB,BBB,2026-06-13T07:15:00,2026-06-13T11:15:00,T1,T1-12,A350,101
CC798-2026-06-13-37,CC,CC355,HUB,FFF,2026-06-13T16:00:00,2026-06-13T17:00:00,T3,T3-07,B777,366
DD522-2026-06-13-38,DD,DD125,HUB,BBB,2026-06-13T09:20:00,2026-06-13T15:20:00,T2,T2-06,B777,290
BB993-2026-06-13-39,BB,BB139,HUB,GGG,2026-06-13T13:15:00,2026-06-13T17:15:00,T1,T1-13,A350,182
AA242-2026-06-13-0-DUP,AA,AA854X,HUB,AAA,2026-06-13T05:30:00,2026-06-13T11:30:00,T2,T2-08,A380,124
